Kommune - sannsynlighet for bosetting (basert pa antall vedtatte flyktninger)
Total (sum av vedtatte tall): 9853
Presisjon: 2 desimaler
--------------------------------------------------------------------------------
Innlandet | Østre Toten: 0.30%  (vedtatt å bosette: 30)
Møre og Romsdal | Haram: 0.30%  (vedtatt å bosette: 30)
Møre og Romsdal | Sunndal: 0.30%  (vedtatt å bosette: 30)
Nordland | Brønnøy: 0.30%  (vedtatt å bosette: 30)
Rogaland | Hå: 0.30%  (vedtatt å bosette: 30)
Rogaland | Klepp: 0.30%  (vedtatt å bosette: 30)
Rogaland | Time: 0.30%  (vedtatt å bosette: 30)
Rogaland | Tysvær: 0.30%  (vedtatt å bosette: 30)
Trøndelag | Malvik: 0.30%  (vedtatt å bosette: 30)
Trøndelag | Åfjord: 0.30%  (vedtatt å bosette: 30)
Vestland | Kvam: 0.30%  (vedtatt å bosette: 30)
Vestland | Stryn: 0.30%  (vedtatt å bosette: 30)
Buskerud | Lier: 0.28%  (vedtatt å bosette: 28)
Trøndelag | Inderøy: 0.28%  (vedtatt å bosette: 28)
Akershus | Enebakk: 0.26%  (vedtatt å bosette: 26)
Akershus | Nes: 0.25%  (vedtatt å bosette: 25)
Akershus | Nesodden: 0.25%  (vedtatt å bosette: 25)
Buskerud | Gol: 0.25%  (vedtatt å bosette: 25)
Buskerud | Rollag: 0.25%  (vedtatt å bosette: 25)
Buskerud | Ål: 0.25%  (vedtatt å bosette: 25)
Innlandet | Hamar: 0.25%  (vedtatt å bosette: 25)
Innlandet | Lillehammer: 0.25%  (vedtatt å bosette: 25)
Innlandet | Sør-Odal: 0.25%  (vedtatt å bosette: 25)
Innlandet | Øystre Slidre: 0.25%  (vedtatt å bosette: 25)
Møre og Romsdal | Stranda: 0.25%  (vedtatt å bosette: 25)
Nordland | Andøy: 0.25%  (vedtatt å bosette: 25)
Nordland | Bø: 0.25%  (vedtatt å bosette: 25)
Nordland | Gildeskål: 0.25%  (vedtatt å bosette: 25)
Nordland | Øksnes: 0.25%  (vedtatt å bosette: 25)
Telemark | Kragerø: 0.25%  (vedtatt å bosette: 25)
Trøndelag | Skaun: 0.25%  (vedtatt å bosette: 25)
Vestland | Bjørnafjorden: 0.25%  (vedtatt å bosette: 25)
Vestland | Gloppen: 0.25%  (vedtatt å bosette: 25)
Vestland | Høyanger: 0.25%  (vedtatt å bosette: 25)
Vestland | Osterøy: 0.25%  (vedtatt å bosette: 25)
Vestland | Stad: 0.25%  (vedtatt å bosette: 25)
Vestland | Sveio: 0.25%  (vedtatt å bosette: 25)
Agder | Risør: 0.24%  (vedtatt å bosette: 24)
Agder | Farsund: 0.22%  (vedtatt å bosette: 22)
Agder | Kvinesdal: 0.22%  (vedtatt å bosette: 22)
Trøndelag | Meråker: 0.22%  (vedtatt å bosette: 22)
